BASE_YEAR,BOAT_NO,PRACE_NCNT,N1CK_NCNT,N2CK_NCNT,N3CK_NCNT,AVRG_CKSN_SCORE_VALUE,YUNDAE_RT,BEST_SAIL_TIME_VALUE,N2JU_BEST_TIME_VALUE,N3JU_BEST_TIME_VALUE
2023,B2016087,162,24,29,23,4.98,32.7,01:15.1,01:15.1,02:00.2
2023,B2018027,154,41,26,22,5.94,43.5,01:13.9,01:13.9,01:53.9
2023,B2018028,153,36,25,31,5.96,39.9,01:14.7,01:14.7,01:54.3
2023,B2018029,173,28,27,25,4.97,31.8,01:14.7,01:14.7,01:53.5
2023,B2018030,173,30,34,25,5.45,37,01:15.0,01:15.0,01:54.1
2023,B2018031,173,35,23,31,5.34,33.5,01:15.1,01:15.1,01:53.7
2023,B2018032,166,25,31,39,5.6,33.7,01:15.0,01:15.0,01:52.6
2023,B2018044,177,35,23,33,5.14,32.8,01:14.0,01:14.0,01:53.1
2023,B2018045,154,15,28,32,4.79,27.9,01:16.1,01:16.1,01:55.9
2023,B2018046,178,38,30,27,5.35,38.2,01:14.5,01:14.5,01:53.8
2023,B2016068,212,55,37,40,6.04,43.4,01:15.5,01:15.5,02:00.4
2023,B2016069,210,38,34,38,5.32,34.3,01:14.3,01:14.3,01:53.9
2023,B2016070,206,38,32,34,5.24,34,01:15.2,01:15.2,02:01.0
2023,B2016071,209,35,32,38,5.18,32.1,01:15.7,01:15.7,01:56.5
2023,B2016072,210,33,33,40,5.18,31.4,01:14.6,01:14.6,01:58.7
2023,B2016073,89,19,22,15,6.06,46.1,01:14.1,01:14.1,01:57.5
2023,B2016074,186,42,32,38,5.84,39.8,01:14.1,01:14.1,02:00.5
2023,B2018047,136,19,20,15,4.54,28.7,01:14.6,01:14.6,01:53.5
2023,B2018048,182,39,33,28,5.41,39.6,01:14.6,01:14.6,01:54.6
2023,B2018049,183,29,35,31,5.28,35,01:13.6,01:13.6,01:54.7
2023,B2018050,169,25,21,26,4.72,27.2,01:15.1,01:15.1,01:56.2
2023,B2018051,182,33,24,22,5.15,31.3,01:14.7,01:14.7,01:54.1
2023,B2018087,172,29,36,27,5.43,37.8,01:14.2,01:14.2,01:54.0
2023,B2018110,145,25,22,22,4.94,32.4,01:15.0,01:15.0,01:53.8
2023,B2020001,182,34,31,36,5.46,35.7,01:13.0,01:13.0,:.
2023,B2020002,163,15,21,30,4.42,22.1,01:13.6,01:13.6,:.
2023,B2020003,178,21,30,35,4.9,28.7,01:12.6,01:12.6,:.
2023,B2020004,157,19,29,24,4.71,30.6,01:13.1,01:13.1,:.
2023,B2020005,149,40,27,22,6,45,01:12.3,01:12.3,:.
2023,B2020006,179,30,32,28,5.3,34.6,01:12.5,01:12.5,:.
2023,B2020010,159,25,22,31,5.04,29.6,01:12.8,01:12.8,:.
2023,B2020084,181,30,25,28,4.9,30.4,01:12.8,01:12.8,:.
2023,B2018038,185,30,35,27,5.19,35.1,01:14.5,01:14.5,01:56.7
2023,B2018039,177,27,25,29,4.77,29.4,01:14.7,01:14.7,01:53.0
2023,B2018040,176,28,32,23,5.08,34.1,01:15.1,01:15.1,01:54.8
2023,B2018041,142,36,28,34,6.42,45.1,01:14.3,01:14.3,01:53.1
2023,B2018042,178,33,26,39,5.53,33.1,01:14.6,01:14.6,01:52.3
