RACE_YEAR,TME_VALUE,DAY_ORD_VALUE,RACE_NO,N1R_PLAYER_NM,N2R_PLAYER_NM,N3R_PLAYER_NM,DANSEONG_VALUE,YNGSEONG_ONE_VALUE,YNGSEONG_TWO_VALUE,SSANGSEONG_VALUE,BOKSEONG_VALUE,SAMBOKSEONG_VALUE,SAMSSANGSEONG_DVDN_RT,SSANBOKSEONG_DVDN_RT
2022,33,2,4,①정민수,②송효석,④김민길,①1.8,①2,②2.1,①-②4.6,①-②2.9,①-②-④1.5,①-②-④7.6,①-②3.5
2022,33,2,5,①김지영,②서화모,⑤김응선,①2.2,①1.2,②1.4,①-②4.3,①-②3.2,①-②-⑤2.9,①-②-⑤8.9,①-②4.9
2022,33,2,6,④이용세,⑥전두식,⑤한  운,④2.3,④1.3,⑥8.7,④-⑥10.2,④-⑥11,④-⑥-⑤16.6,④-⑥-⑤59.2,④-⑥18.8
2022,33,2,7,③박정아,②고정환,④권명호,③3.6,③2.1,②2,③-②27.1,③-②11.6,③-②-④19.6,③-②-④116.3,③-②53.4
2022,33,2,8,①이경섭,⑥김선웅,②사재준,①3.5,①1.9,⑥8.9,①-⑥87.2,①-⑥53.7,①-⑥-②53.7,①-⑥-②508.3,①-⑥116.5
2022,33,2,9,①김동민,③이동준,⑤박진서,①3.5,①1.6,③1.3,①-③6.2,①-③2.8,①-③-⑤4.4,①-③-⑤16.5,①-③14.5
2022,33,2,10,①김현덕,⑤문안나,④손근성,①1.3,①1.1,⑤6.2,①-⑤10.5,①-⑤8.2,①-⑤-④4.9,①-⑤-④28.4,①-⑤6.5
2022,33,2,11,⑤김완석,④조규태,②김민길,⑤3.9,⑤1.7,④2.4,⑤-④20.6,⑤-④9.5,⑤-④-②3.8,⑤-④-②57.5,⑤-④15
2022,33,2,12,①김민천,⑥김민준,②이상문,①1.3,①1.1,⑥3.1,①-⑥4.6,①-⑥4,①-⑥-②8.7,①-⑥-②24.5,①-⑥10.9
2022,33,2,13,①서화모,②신동길,④황이태,①1.6,①1.3,②1.9,①-②5.2,①-②5.1,①-②-④6.2,①-②-④19.1,①-②8
2022,33,2,14,②손지영,④고정환,⑤곽현성,②1.2,②1,④2.9,②-④3.5,②-④2.6,②-④-⑤4.1,②-④-⑤7.3,②-④5.4
2022,33,2,15,②박석문,⑥최재원,③김채현,②1.2,②1.1,⑥2.3,②-⑥2.5,②-⑥2.3,②-⑥-③4.9,②-⑥-③12,②-⑥6.2
2022,33,2,16,③김태규,⑤정민수,①김선웅,③1.4,③1,⑤2.3,③-⑤3,③-⑤2.9,③-⑤-①1.7,③-⑤-①5.6,③-⑤2.3
2022,33,2,17,⑥김지영,②김동민,①박정아,⑥1.5,⑥1.2,②2.6,⑥-②7.1,⑥-②6.1,⑥-②-①2.3,⑥-②-①13.9,⑥-②3.6
2022,34,1,1,④김현덕,①권현기,③김기한,④2,④1.3,①1.7,④-①3.9,④-①2,④-①-③7.6,④-①-③19.9,④-①14.5
2022,34,1,2,⑤정주현,④김종목,②문안나,⑤2.1,⑤1.4,④9.2,⑤-④30.9,⑤-④28.5,⑤-④-②13.3,⑤-④-②138.5,⑤-④29.6
2022,34,1,3,⑤김창규,⑥주은석,②원용관,⑤2,⑤1.1,⑥3.1,⑤-⑥4.6,⑤-⑥3.2,⑤-⑥-②2.5,⑤-⑥-②10.6,⑤-⑥5.1
2022,34,1,4,①김보경,⑥문주엽,③황이태,①2.3,①1.5,⑥10.2,①-⑥31.5,①-⑥23.9,①-⑥-③23.3,①-⑥-③145,①-⑥31.7
2022,34,1,5,③박상현,④윤영근,⑥한성근,③3.2,③1.9,④6,③-④16.4,③-④13.6,③-④-⑥10.5,③-④-⑥41.4,③-④14.2
2022,34,1,6,②이재학,①이종인,⑥김현철,②2.5,②1.7,①3.6,②-①16.6,②-①10,②-①-⑥14,②-①-⑥59.2,②-①29.2
2022,34,1,7,④박석문,⑥김완석,③안지민,④9.1,④3.3,⑥1.7,④-⑥35,④-⑥16.8,④-⑥-③8,④-⑥-③78.7,④-⑥47
2022,34,1,8,①박설희,③김인혜,②김현덕,①1.1,①1.2,③1.7,①-③3.3,①-③2.5,①-③-②2.6,①-③-②8.4,①-③3.6
2022,34,1,9,③어선규,①박준현,②오세준,③1.7,③1.1,①2.2,③-①4.4,③-①2.7,③-①-②6,③-①-②14.4,③-①10.3
2022,34,1,10,①조규태,⑤김강현,③홍진수,①7.2,①1.4,⑤2.6,①-⑤22.7,①-⑤11.4,①-⑤-③25,①-⑤-③102.9,①-⑤51.3
2022,34,1,11,②주은석,③김지현,④이  인,②1.1,②1.2,③1.4,②-③1.9,②-③1.7,②-③-④3.7,②-③-④6.3,②-③4
2022,34,1,12,④조성인,③이지수,⑥박상현,④1.6,④1.4,③2.3,④-③5.9,④-③3.7,④-③-⑥9.2,④-③-⑥26.6,④-③14.7
2022,34,1,13,⑥이승일,②한준희,③김응선,⑥20.3,⑥3.5,②4.8,⑥-②194,⑥-②52.3,⑥-②-③30.9,⑥-②-③599.9,⑥-②232.8
2022,34,1,14,①한종석,⑤김경일,⑥김보경,①1.6,①1.2,⑤7.4,①-⑤16.9,①-⑤13.8,①-⑤-⑥86.7,①-⑤-⑥165.4,①-⑤105.3
2022,34,1,15,①김완석,④이재학,⑤김동경,①1.1,①1,④2.6,①-④3,①-④3.4,①-④-⑤7.9,①-④-⑤12.4,①-④9.3
2022,34,1,16,③박설희,⑥강영길,①김국흠,③1.3,③1.1,⑥2.1,③-⑥5.2,③-⑥4.6,③-⑥-①3.6,③-⑥-①12.5,③-⑥5.1
2022,34,1,17,①김현철,③김영민,②정인교,①1.7,①1.2,③7.8,①-③35.9,①-③46.7,①-③-②18.4,①-③-②81.9,①-③31.2
2022,34,2,1,①김동경,③박준현,②김지현,①5.6,①1.5,③3.3,①-③25.2,①-③12.5,①-③-②7,①-③-②72.6,①-③20.6
2022,34,2,2,③오세준,⑥이지수,④최재원,③10.1,③3.8,⑥2.7,③-⑥42.1,③-⑥21.4,③-⑥-④10.5,③-⑥-④192.2,③-⑥38.6
2022,34,2,3,③김동민,①이주영,④김희용,③2.9,③1.7,①1.8,③-①9.4,③-①4.4,③-①-④9.1,③-①-④30.9,③-①18.4
2022,34,2,4,⑤김응선,③이재학,④원용관,⑤2.5,⑤2.3,③1.9,⑤-③14.3,⑤-③6.8,⑤-③-④9.3,⑤-③-④49.1,⑤-③31.6
2022,34,2,5,④김창규,①정주현,⑥한종석,④3.7,④1.4,①1.1,④-①4.2,④-①1.5,④-①-⑥2.3,④-①-⑥9.5,④-①6.9
2022,34,2,6,①안지민,④문주엽,⑥조성인,①1.6,①1.6,④3.6,①-④11.5,①-④9,①-④-⑥8.1,①-④-⑥23.9,①-④12.4
2022,34,2,7,②김인혜,①송효범,③이택근,②1.6,②1,①4.2,②-①11.4,②-①8.2,②-①-③12,②-①-③48.1,②-①19.9
2022,34,2,8,①정인교,③한  진,②김강현,①2,①1.3,③2.4,①-③4.9,①-③3,①-③-②4,①-③-②12.8,①-③6
2022,34,2,9,②황이태,⑥정경호,①강영길,②4.2,②2,⑥10.3,②-⑥62.6,②-⑥42.3,②-⑥-①16.6,②-⑥-①248.5,②-⑥57.7
2022,34,2,10,①손제민,④김동경,②이지수,①1.6,①1.1,④2.1,①-④6.5,①-④6,①-④-②1.9,①-④-②10.9,①-④2.7
2022,34,2,11,①김희용,②김응선,③최재원,①1.7,①1.2,②1.7,①-②3.5,①-②1.7,①-②-③3,①-②-③8.6,①-②5.8
2022,34,2,12,②김창규,①어선규,⑥반혜진,②4.1,②1.5,①1.3,②-①8,②-①3.9,②-①-⑥22,②-①-⑥82.5,②-①72.2
2022,34,2,13,①김도휘,②박상현,⑥이주영,①2.5,①2.2,②1.8,①-②6.2,①-②3.1,①-②-⑥28.4,①-②-⑥67.6,①-②61.5
2022,34,2,14,④주은석,②한성근,①이승일,④2,④1.8,②1.2,④-②11.2,④-②4,④-②-①1.5,④-②-①19.7,④-②7.6
2022,34,2,15,⑥윤상선,③윤영일,④이수빈,⑥14.3,1,,⑥-③27.2,⑥-③4.7,⑥-③-④2.4,⑥-③-④30.7,⑥-③27.6
2022,34,2,16,②윤영근,①류석현,⑤한  진,②2,②1.4,①2,②-①5.5,②-①2.6,②-①-⑤2.1,②-①-⑤9.2,②-①5
2022,34,2,17,⑥정주현,⑤김인혜,②조성인,⑥2.3,⑥1.9,⑤1.5,⑥-⑤7.6,⑥-⑤5,⑥-⑤-②2.6,⑥-⑤-②17.7,⑥-⑤4.8
2022,35,1,1,②김국흠,③김정구,①민영건,②5.4,②2,③2.6,②-③18.8,②-③12.8,②-③-①5.7,②-③-①56.6,②-③23.7
2022,35,1,2,④김종희,①권혁민,②임태경,④9.3,④2.9,①1.9,④-①44.5,④-①15,④-①-②14,④-①-②165.9,④-①99.4
2022,35,1,3,⑥나종호,①이진우,⑤이상문,⑥18.6,⑥7.5,①1.3,⑥-①59.7,⑥-①8.9,⑥-①-⑤10.6,⑥-①-⑤297.5,⑥-①156.7
2022,35,1,4,①곽현성,③김지영,⑤최영재,①1.7,①1.3,③1.6,①-③3.3,①-③1.9,①-③-⑤11.2,①-③-⑤17.4,①-③13.7
2022,35,1,5,②이경섭,④최광성,⑥문주엽,②2.4,②1.9,④1.8,②-④6.7,②-④3.4,②-④-⑥5.2,②-④-⑥16.1,②-④10.7
