RACE_YEAR,PLAYER_REGIST_NO,PLAYER_NM,PRACE_NCNT,PRACE_1R_NCNT,PRACE_2R_NCNT,PRACE_3R_NCNT,PRACE_4R_NCNT,PRACE_5R_NCNT,PRACE_6R_NCNT,AVRG_CKSN_SCORE_VALUE,AVRG_ACDNT_SCORE_VALUE,AVRG_SCORE_VALUE,AVRG_BEGIN_TIME_VALUE,VICTRY_RT,YUNDAE_RT,THREE_YUNDAE_RT,PLAYER_GRAD_NM,PLAYER_PN_NO
2015,13-008,이진휘,45,2,0,6,4,9,22,2.49,0.46,2.03,0.27,4.4,4.4,17.8,,
2015,13-007,이진우,63,1,7,7,15,14,18,3.4,0.21,3.19,0.27,1.6,12.7,23.8,,
2015,13-006,오재빈,68,3,8,11,14,20,11,3.93,0.16,3.76,0.28,4.4,16.2,32.4,,
2015,13-005,박성민,68,9,10,11,6,15,15,4.49,0.26,4.23,0.21,13.2,27.9,44.1,,
2015,13-004,김태용,56,4,3,7,9,15,16,3.36,0.46,2.89,0.26,7.1,12.5,25,,
2015,13-003,김보혜,28,1,1,3,7,6,8,3,0.84,2.16,0.23,3.6,7.1,17.9,,
2015,13-002,김민준,73,14,17,8,15,8,11,5.71,0.19,5.52,0.24,19.2,42.5,53.4,,
2015,13-001,김도휘,62,2,9,10,10,15,14,3.81,0.3,3.51,0.23,3.2,17.7,33.9,,
2015,12-010,한성근,75,17,15,12,12,12,7,5.92,0.17,5.75,0.22,22.7,42.7,58.7,,
2015,12-009,조성인,48,5,5,7,10,10,10,4.21,0.35,3.85,0.28,10.4,20.8,35.4,,
2015,12-008,정장훈,70,1,0,1,14,20,34,2.09,0.11,1.97,0.32,1.4,1.4,2.9,,
2015,12-007,임정택,8,0,0,0,2,1,3,1.63,2.56,-0.94,0.37,0,0,0,,
2015,12-006,이상문,47,5,2,5,12,13,8,3.79,0.44,3.35,0.3,10.6,14.9,25.5,,
2015,12-005,류석현,79,24,19,8,13,11,4,6.66,0.22,6.44,0.22,30.4,54.4,64.6,,
2015,12-004,박준현,58,2,4,7,11,15,18,3.21,0.28,2.92,0.28,3.4,10.3,22.4,,
2015,12-002,김인혜,57,6,8,15,12,6,9,4.98,0.26,4.72,0.24,10.5,24.6,50.9,,
2015,12-001,강영길,65,5,8,13,8,10,21,4.08,0.15,3.93,0.27,7.7,20,40,,
2015,11-016,지용민,33,2,2,4,6,6,13,3.3,0.2,3.11,0.21,6.1,12.1,24.2,,
2015,11-015,정훈민,19,2,1,2,3,5,5,3.53,0.74,2.79,0.27,10.5,15.8,26.3,,
2015,11-014,전정환,49,2,6,10,9,10,11,3.98,0.46,3.52,0.25,4.1,16.3,36.7,,
2015,11-013,이현재,36,9,4,11,5,3,2,6,0.89,5.11,0.22,25,36.1,66.7,,
2015,11-012,서  휘,59,9,11,12,9,9,8,5.29,0.4,4.89,0.25,15.3,33.9,54.2,,
2015,11-011,박진서,66,1,7,18,14,19,6,4.15,0.19,3.96,0.25,1.5,12.1,39.4,,
2015,11-010,박애리,31,0,1,3,5,7,14,2.39,0.47,1.92,0.29,0,3.2,12.9,,
2015,11-009,김희영,21,0,1,2,5,6,7,2.81,0.26,2.55,0.27,0,4.8,14.3,,
2015,11-008,김현덕,19,2,0,2,5,4,5,3.42,0.63,2.79,0.33,10.5,10.5,21.1,,
2015,11-007,김지현,68,8,10,11,14,13,12,4.71,0.2,4.51,0.29,11.8,26.5,42.6,,
2015,11-006,김응선,54,16,12,9,7,4,3,6.54,0.5,6.04,0.2,29.6,51.9,68.5,,
2015,11-005,김영민,71,11,17,6,15,10,11,5.3,0.15,5.14,0.22,15.5,39.4,47.9,,
2015,11-004,김선웅,67,7,10,13,14,10,12,4.72,0.18,4.54,0.22,10.4,25.4,44.8,,
2015,11-003,김강현,6,1,1,2,1,1,0,6,0.17,5.83,0.23,16.7,33.3,66.7,,
2015,11-001,기광서,74,4,8,10,20,18,14,3.97,0.14,3.83,0.23,5.4,16.2,29.7,,
2015,10-007,임태경,70,9,12,11,15,14,7,5.01,0.2,4.81,0.24,12.9,30,45.7,,
2015,10-006,이경섭,67,2,13,12,13,16,10,4.33,0.19,4.13,0.25,3,22.4,40.3,,
2015,10-005,반혜진,49,5,9,8,8,9,9,4.69,0.45,4.24,0.25,10.2,28.6,44.9,,
2015,10-004,박준호,58,5,7,6,8,18,14,3.86,0.28,3.58,0.22,8.6,20.7,31,,
2015,10-003,김태규,45,3,7,11,8,9,6,4.62,0.34,4.28,0.28,6.7,22.2,46.7,,
2015,10-001,구본수,50,6,6,7,4,10,16,4.04,0.43,3.61,0.19,12,24,38,,
2015,09-005,홍기철,68,17,15,10,5,9,11,5.96,0.3,5.65,0.24,25,47.1,61.8,,
2015,09-003,정재용,30,1,4,4,4,11,6,3.67,0.1,3.57,0.24,3.3,16.7,30,,
